n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
254,4.11209e+06,403042,3.865e+06,3.97625e+06,4.0235e+06,4.12325e+06,6.154e+06
256,4.45969e+06,93888.2,4.312e+06,4.3875e+06,4.454e+06,4.5215e+06,4.675e+06
258,4.148e+06,199535,4.024e+06,4.054e+06,4.082e+06,4.158e+06,5.114e+06
260,4.31238e+06,197540,4.139e+06,4.19175e+06,4.2485e+06,4.36375e+06,5.143e+06
262,4.47466e+06,240256,4.193e+06,4.326e+06,4.445e+06,4.528e+06,5.383e+06
264,4.58641e+06,217575,4.323e+06,4.432e+06,4.524e+06,4.69275e+06,5.29e+06
266,4.56738e+06,105736,4.435e+06,4.4835e+06,4.5495e+06,4.617e+06,4.94e+06
268,4.81138e+06,441483,4.524e+06,4.5825e+06,4.6935e+06,4.8205e+06,6.953e+06
270,4.97041e+06,562259,4.599e+06,4.74275e+06,4.8225e+06,4.96725e+06,7.758e+06
272,5.07572e+06,215699,4.793e+06,4.93075e+06,5.039e+06,5.158e+06,5.85e+06
274,5.06741e+06,282939,4.803e+06,4.889e+06,4.9735e+06,5.1605e+06,6.163e+06
276,5.47756e+06,1.02474e+06,4.89e+06,5.026e+06,5.09e+06,5.28225e+06,9.205e+06
278,6.6565e+06,1.25489e+06,5.416e+06,5.72025e+06,6.1585e+06,7.48075e+06,1.081e+07
280,6.11116e+06,611066,5.377e+06,5.6875e+06,5.9435e+06,6.562e+06,7.879e+06
282,6.13966e+06,784674,5.29e+06,5.6115e+06,5.831e+06,6.46625e+06,8.34e+06
284,6.38462e+06,1.25866e+06,5.314e+06,5.40975e+06,5.725e+06,7.18e+06,9.303e+06
286,5.99928e+06,656396,5.418e+06,5.5145e+06,5.912e+06,6.31175e+06,8.656e+06
288,6.55906e+06,908546,5.579e+06,5.8845e+06,6.315e+06,6.89275e+06,9.263e+06
290,6.86812e+06,1.52167e+06,5.835e+06,6.09675e+06,6.306e+06,6.91725e+06,1.2307e+07
292,6.73997e+06,966844,5.874e+06,6.14425e+06,6.338e+06,7.067e+06,1.0578e+07
294,1.01261e+07,3.24039e+06,6.584e+06,7.772e+06,8.935e+06,1.17038e+07,1.8351e+07
296,8.90466e+06,2.23873e+06,6.309e+06,6.898e+06,8.1405e+06,9.82625e+06,1.3401e+07
298,8.71003e+06,2.4506e+06,6.411e+06,6.78525e+06,7.557e+06,1.04928e+07,1.5469e+07
300,7.50519e+06,1.10993e+06,6.387e+06,6.66125e+06,7.004e+06,8.394e+06,1.0378e+07
302,7.39e+06,827017,6.525e+06,6.6965e+06,7.088e+06,8.2215e+06,9.44e+06
304,9.79572e+06,2.932e+06,6.765e+06,7.58625e+06,9.142e+06,1.13538e+07,2.0753e+07
306,7.79416e+06,1.13869e+06,6.744e+06,7.13925e+06,7.442e+06,8.078e+06,1.1007e+07
308,7.52481e+06,745052,6.809e+06,6.99675e+06,7.2965e+06,7.58375e+06,9.737e+06
310,7.66781e+06,793168,6.897e+06,7.157e+06,7.5045e+06,7.718e+06,9.955e+06
312,8.44503e+06,2.1717e+06,7.049e+06,7.25575e+06,7.8125e+06,8.41825e+06,1.8015e+07
314,1.00426e+07,2.38481e+06,7.552e+06,7.86925e+06,9.473e+06,1.1152e+07,1.5941e+07
316,9.51588e+06,1.43328e+06,7.398e+06,8.42225e+06,9.2875e+06,1.0625e+07,1.235e+07
318,9.4265e+06,2.13106e+06,7.55e+06,8.3995e+06,8.547e+06,9.0575e+06,1.6605e+07
320,8.35141e+06,448144,7.755e+06,7.95275e+06,8.381e+06,8.641e+06,9.329e+06
322,8.59034e+06,1.36738e+06,7.737e+06,7.82675e+06,8.097e+06,8.86625e+06,1.5055e+07
324,8.24953e+06,432021,7.884e+06,7.95e+06,8.085e+06,8.2825e+06,9.281e+06
326,9.50728e+06,1.48719e+06,8.207e+06,8.485e+06,8.964e+06,1.0073e+07,1.4776e+07
328,1.1575e+07,1.97792e+06,8.791e+06,1.02802e+07,1.13245e+07,1.25e+07,1.8251e+07
330,1.1404e+07,1.71588e+06,9.284e+06,1.0335e+07,1.10065e+07,1.24232e+07,1.7541e+07
332,1.20254e+07,3.14681e+06,9.363e+06,1.00922e+07,1.10925e+07,1.24135e+07,2.374e+07
334,1.1999e+07,1.74863e+06,9.664e+06,1.0302e+07,1.2106e+07,1.28815e+07,1.6251e+07
336,1.42198e+07,1.83211e+06,1.0854e+07,1.28505e+07,1.41555e+07,1.50755e+07,1.8413e+07
338,1.52888e+07,4.33923e+06,1.0202e+07,1.1697e+07,1.4571e+07,1.74062e+07,3.2398e+07
340,1.28193e+07,2.5111e+06,1.0077e+07,1.06622e+07,1.2009e+07,1.44158e+07,1.9448e+07
342,1.25833e+07,1.41811e+06,1.0249e+07,1.15068e+07,1.2434e+07,1.3513e+07,1.518e+07
344,1.43268e+07,1.62679e+06,1.0994e+07,1.34812e+07,1.42955e+07,1.54448e+07,1.7748e+07
346,1.31328e+07,4.54732e+06,9.843e+06,1.12402e+07,1.20125e+07,1.31948e+07,3.5689e+07
348,1.21651e+07,1.14585e+06,1.0269e+07,1.12895e+07,1.21985e+07,1.2891e+07,1.4239e+07
350,1.23484e+07,938830,1.0673e+07,1.17488e+07,1.2191e+07,1.28878e+07,1.4223e+07
352,1.23152e+07,1.1794e+06,1.0417e+07,1.14548e+07,1.22765e+07,1.29388e+07,1.5173e+07
354,1.26038e+07,1.69766e+06,1.0691e+07,1.14098e+07,1.2138e+07,1.3181e+07,1.8417e+07
356,1.18149e+07,823881,1.0636e+07,1.12018e+07,1.1726e+07,1.22288e+07,1.4274e+07
358,1.42749e+07,2.35099e+06,1.1157e+07,1.241e+07,1.3939e+07,1.51878e+07,2.1632e+07
360,1.35618e+07,1.0419e+06,1.2281e+07,1.25692e+07,1.34835e+07,1.41685e+07,1.6965e+07
362,1.40205e+07,3.31021e+06,1.1243e+07,1.27605e+07,1.34675e+07,1.435e+07,3.108e+07
364,1.32738e+07,1.20011e+06,1.1462e+07,1.24238e+07,1.32375e+07,1.40532e+07,1.6284e+07
366,1.23214e+07,669712,1.1534e+07,1.18125e+07,1.20815e+07,1.2679e+07,1.4247e+07
368,1.2831e+07,915457,1.1711e+07,1.21452e+07,1.26795e+07,1.33605e+07,1.5262e+07
370,1.31225e+07,949061,1.2067e+07,1.2319e+07,1.2866e+07,1.38192e+07,1.5693e+07
372,1.38744e+07,1.09576e+06,1.2267e+07,1.29558e+07,1.3764e+07,1.45145e+07,1.6076e+07
374,1.40375e+07,1.24883e+06,1.2703e+07,1.2966e+07,1.3838e+07,1.46242e+07,1.7285e+07
376,1.39457e+07,2.75314e+06,1.2359e+07,1.27968e+07,1.3106e+07,1.38035e+07,2.5612e+07
378,1.42434e+07,1.10528e+06,1.2922e+07,1.34722e+07,1.3983e+07,1.47135e+07,1.7594e+07
380,1.41441e+07,826114,1.2987e+07,1.35525e+07,1.4031e+07,1.4571e+07,1.7189e+07
382,1.39927e+07,1.02331e+06,1.3149e+07,1.34202e+07,1.3726e+07,1.41758e+07,1.7818e+07
384,1.46993e+07,2.11388e+06,1.3272e+07,1.38052e+07,1.41375e+07,1.46352e+07,2.4461e+07
386,1.42802e+07,532601,1.3563e+07,1.39375e+07,1.4117e+07,1.4455e+07,1.5741e+07
388,1.45868e+07,799697,1.3866e+07,1.40222e+07,1.4191e+07,1.51378e+07,1.7087e+07
390,1.57056e+07,2.78255e+06,1.4013e+07,1.43358e+07,1.46255e+07,1.63072e+07,2.6083e+07
392,1.53955e+07,885016,1.4236e+07,1.4702e+07,1.52035e+07,1.60392e+07,1.7418e+07
